prompt,chosen,rejected
"One day, a little girl","One day, a little girl named Lily went to the park with her mommy. They saw a big slide and wanted to go on it. Lily was scared, but her mommy told her it was okay. She said they would be safe and had to be brave.
","One day, a little girl named Lily went for a walk in the park. She saw a butterfly and flew to get closer to it. While the butterfly was close, Lily saw a beautiful butterfly fluttering in the grass. The butterfly felt jealous and wanted to be the owner of"
"Once upon a time, there","Once upon a time, there was a little girl named Lily. She loved to run and play with her toys when they were loud and fun. One day, she went to her room and saw her mom packing in a box. Lily said, ""Mom, I can't play","Once upon a time, there was a little boy named Timmy. Timmy loved to play outside in the sun. One day, Timmy's mommy told him they were going to a restaurant. Timmy was excited to go and see what was on the menu.
"
"One day, a little fish","One day, a little fish named Fluffy was swimming in the pond. He saw a big, green fish and wanted to catch it. He swam closer to the fish and tried to grab it with his mouth. But the fish was too fast and grabbed Fluffy with its","One day, a little fish named Tom jumped out of a boat. He went to the river, but it was muddy and slimy. Tom wanted to learn how to swim there. 

Tom saw a big duck, but he was scared of it. He wanted to"
"Once upon a time, in","Once upon a time, in a small park, there was a girl named Sue. Sue liked to play hide and seek with her dog, Spot. Sue had a big hat that made her look cool.

One morning, Sue asked Spot if he could see a ball.","Once upon a time, in a big forest, there lived a little bunny named Benny. Benny loved to play with his friends, the birds and the squirrels. One day, Benny and his friends decided to play hide and seek. Benny hid behind a big tree and waited for"
"Once upon a time, there","Once upon a time, there was a little girl named Lily. She loved to play with her toys and eat yummy food. One day, her mom told her that they were going to go on a trip to the beach. Lily was excited to go on the trip, but","Once upon a time, there was a nice old bird that lived in a small garden. As it flew around, it saw all sorts of beautiful things. As it flew, it made noises as small as bees swarming around the flowers.

One day, the bird saw"
"Once upon a time, in","Once upon a time, in a small village, there lived a little girl named Rose. She loved playing in her garden with her mommy and daddy. One day, Rose's mommy asked her to clean the backyard. When she didn't want to, her daddy told her","Once upon a time, in a small town, there lived a little girl named Lily. She loved to play outside in the sunshine, but her favorite thing to do was to eat her favorite snack, cookies. One day, her mommy told her that she had to go to"
"Once upon a time, in","Once upon a time, in a small town, there lived a boy named Tim. Tim loved to play with his toys, but one day he accidentally broke his toy car. He was sad and didn't know what to do.

His mom saw what happened and came to","Once upon a time, in a small house, there lived a dog named Max. Max was very happy, but he was very curious. One day, Max came home for a playdate with his friend, Bunny. Bunny told Max, ""Max, there is something amazing in"
"Once upon a time, in","Once upon a time, in a small castle, there lived a kind knight named John who loved to help his friends. His friend was a little kitten named Max. John wanted Max to help him in his adventure.

One sunny day, Max spotted a magical lamp in the","Once upon a time, in a small house, there lived a little girl named Lily. She loved to play with her toys and run around outside. One day, she found a big box in her room. She opened it and found a big, shiny box inside.

"
"Once upon a time, there","Once upon a time, there was a little girl named Lily. She loved to play in her backyard and run around on the grass. One day, she saw a big, scary monster in the grass. She ran away as fast as she could, but she was too scared to","Once upon a time, there was a little bird called Timmy. Timmy lived in a big tree with his friends, the squirrels. They were very hungry, so Timmy decided he would take a nibble of some yummy treats.

Suddenly, the wind"
"One day, a fast driver","One day, a fast driver named Tim saw a big truck outside. He wanted to go inside and see what was inside. He followed the truck until it stopped in front of a big house. Tim was very curious and wanted to see what was inside.

Inside the house","One day, a fast driver saw a big red flower. The driver wanted to pick for dinner. He said, ""I will pick a big red flower."" The driver smiled and went to his truck. He took out a basket and went to the big red flower.

"
"Once upon a time, there","Once upon a time, there was a little boy named Timmy. Timmy loved to play games with his friends when they were together. One day, Timmy and his friends were playing hide and seek and he found a red envelope. They were so happy but it was difficult","Once upon a time, there was a little boy named Timmy. Timmy loved to play outside in the sun. One day, Timmy saw a big, scary bear. The bear was big and scary, but Timmy was brave. He ran away from the bear and"
"Once upon a time, there","Once upon a time, there was a little girl called Lucy who was very excited and wanted to go for a walk. She went to the store with her mum and the boy on their way.

As they went over the fence, Lucy noticed the big brown trees in front","Once upon a time, there was a little girl named Lily. She loved to play outside in the sun. One day, she saw a big, scary bear sitting on a tree. The bear looked very sad and scared.

Lily wanted to help the bear, so"
"One day, a girl named","One day, a girl named Lily went to the park with her mom. Lily saw a big rock near a slide. She wanted to climb the rock, but her mom said no. Lily felt sad and wanted to cry.

Mom asked Lily, ""Why are you sad","One day, a girl named Lily went for a walk in the park. She saw a big, yellow balloon on a pole in the grass. Her mom handed the balloon to Lily to see how much it would weigh. Suddenly, Lily saw something move nearby. 

L"
"Once upon a time, in","Once upon a time, in a small house, there lived a little girl named Lily. She loved to play with her toys and her friends. One day, she saw a big, red ball on the floor. She wanted to play with it, but her mom said no.","Once upon a time, in a beautiful land, there lived a kind dragon who liked to eat bugs. One day, he found a bug and wanted to eat it. But the dragon was greedy and wanted to eat every bug he saw.

So, the dragon started feeding"
